ID,Name,Nickname,Height,Weight,Reach,Stance,DOB
93fe7332d16c6ad9,Tom Aaron,\N,\N,155,\N,\N,1978-07-13
15df64c02b6b0fde,Danny Abbadi,THE ASSASSIN,71,155,\N,Orthodox,1983-07-03
59a9d6dac61c2540,Nariman Abbasov,BAYRAKTAR,68,155,66,Orthodox,1994-02-01
4961467134abd8be,Darion Abbey,\N,74,265,80,Orthodox,1993-02-25
b361180739bed4b0,David Abbott,TANK,72,265,\N,Switch,1965-04-26
3329d692aea4dc28,Hamdy Abdelwahab,THE HAMMER,74,265,72,Southpaw,1993-01-22
8f3837b4c06f3d1e,Farida Abdueva,\N,\N,115,\N,\N,2004-05-15
841695e02c99a521,Mansur Abdul-Malik,\N,74,185,80,Orthodox,\N
2f5cbecbbe18bac4,Shamil Abdurakhimov,ABREK,75,235,76,Orthodox,1981-09-02
c0ed7b208197e8de,Hiroyuki Abe,ABE ANI,66,145,\N,Orthodox,1970-02-09
5140122c3eecd307,Daichi Abe,\N,71,170,71,Orthodox,1991-11-27
c9f6385af6df66d7,Papy Abedi,MAKAMBO,71,185,\N,Southpaw,1978-06-30
aa6e591c2a2cdecd,Ricardo Abreu,DEMENTE,71,185,\N,Orthodox,1984-04-27
7279654c7674cd24,Klidson Abreu,WHITE BEAR,72,205,74,Orthodox,\N
f689bd7bbd14b392,Cyborg Abreu,\N,\N,\N,\N,\N,\N
1c5879330d42255f,Daniel Acacio,\N,68,180,\N,Orthodox,\N
989b85f6540c86b1,John Adajar,THE OUTLAW,69,170,75,Orthodox,1991-06-22
2620f3eb21c79614,Scott Adams,\N,72,225,\N,Southpaw,\N
83b00f7597e5ac83,Juan Adams,THE KRAKEN,77,265,80,Orthodox,1992-01-16
a77633a989013265,Anthony Adams,SUGAFOOT,73,185,76,Orthodox,1988-01-13
79cb2a690b9ba5e8,Zarrukh Adashev,THE LION,65,125,65,Southpaw,1992-07-29
1338e2c7480bdf9e,Israel Adesanya,THE LAST STYLEBENDER,76,185,80,Switch,1989-07-22
0e9869d712e81f8f,Sam Adkins,THE EXPERIENCE,75,225,\N,Orthodox,1965-04-26
7a846fcbf182a7c8,Mohamed Ado,\N,71,170,76,Switch,2000-05-03
ebc5af72ad5a28cb,Nick Agallar,\N,68,155,\N,Orthodox,1979-01-13
a08ddd04eaffd81d,Mariya Agapova,MONEY MASHKA,66,125,68,Southpaw,1997-04-07
26f4288e83188c61,Kantharaj Agasa,KANNADIGA,\N,135,\N,\N,1992-02-16
44aa652b181bcf68,Marcelo Aguiar,\N,70,170,\N,Orthodox,1969-01-20
501821d7fb7b95c1,Fabio Aguiar,\N,72,185,\N,\N,1988-02-10
6cadc0a0ba7dc015,Edwin Aguilar,TIGRE,70,185,\N,\N,1972-01-01
8f382b3baa954d2a,Jessica Aguilar,JAG,63,115,63,Orthodox,1982-05-08
cf946e03ba2e7666,Kevin Aguilar,ANGEL OF DEATH,67,155,73,Orthodox,1988-09-07
c051c2e12d692b8a,Jesus Aguilar,\N,64,125,62,Orthodox,1996-03-13
ae071698e1a3ccd4,Christian Aguilera,THE BEAST,69,170,72,Switch,1991-11-25
0978385b2bd9ef9b,Nick Aguirre,SLICK,69,135,74,Southpaw,1996-01-15
b2efa582adf73604,Agulali,\N,69,125,67,Switch,2005-04-07
ff584c17bccbae0b,Ahejiang Ailinuer,\N,\N,145,\N,\N,\N
9e3dbb9c68ed5d1a,Mike Aina,IRON,69,155,\N,Orthodox,\N
49dea784f6cfed71,Ashiek Ajim,PEAK PHYSIQUE,68,135,71,Switch,1994-06-19
2eada40ac8801559,Hitomi Akano,GIRLFIGHT MONSTER,64,135,\N,Southpaw,1974-07-27
16690d100f995f8f,Omari Akhmedov,WOLVERINE,72,185,73,Orthodox,\N
b0550072e5f0afa7,Yoshihiro Akiyama,\N,70,170,75,Orthodox,1975-07-29
1fc64507a0cb38cf,Rostem Akman,\N,70,170,72,Switch,\N
38b50fd1e1b5b656,Razak Al-Hassan,\N,74,205,\N,Orthodox,1982-05-14
597499ac7a5aac62,Abdul-Kareem Al-Selwady,PRIDE OF PALESTINE,68,155,69,Orthodox,1995-04-10
1cf1310684a841f5,Mostapha Al-Turk,\N,74,245,77,Orthodox,1973-07-14
7578cc6bd750206b,Herdem Alacabek,\N,74,205,75,Orthodox,1991-06-07
2144954270be834d,Javi Alanis,\N,66,135,\N,\N,\N
1897b7b913736a7c,Alatengheili,THE MONGOLIAN KNIGHT,65,135,66,Orthodox,\N
6d35bf94f7d30241,Amir Albazi,THE PRINCE,65,125,68,Orthodox,\N
9b28292abe3166d5,Brett Albee,\N,\N,225,\N,\N,\N
7bd94b60d7521e4a,John Albert,PRINCE,68,135,68,Orthodox,\N
c482c8605455a213,Junior Albini,BABY,75,264,74,Orthodox,1991-03-15
184b955181bdef52,Wes Albritton,\N,70,188,\N,Orthodox,\N
e76d9f656ceb82ab,Aleksandra Albu,STITCH,62,115,63,Orthodox,1990-07-14
dd1b90eea08887f6,Israel Albuquerque,\N,\N,185,\N,Orthodox,\N
39f62b833e4cf126,Juan Alcain,\N,\N,\N,\N,\N,\N
